Price,Room,Sqr_Meter,Location,City
700,4,130,"Tunis, Ain Zaghouan",Ain Zaghouan
750,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1850,4,180,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,135,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,1,90,"Tunis, Ain Zaghouan",Ain Zaghouan
850,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,115,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,110,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1750,3,213,"Tunis, Ain Zaghouan",Ain Zaghouan
1450,4,155,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
800,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,136,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,136,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,1,90,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,180,"Tunis, Ain Zaghouan",Ain Zaghouan
950,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
600,2,50,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,45,"Tunis, Ain Zaghouan",Ain Zaghouan
650,3,88,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,122,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,145,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,112,"Tunis, Ain Zaghouan",Ain Zaghouan
2300,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
