Price,Room,Sqr_Meter,Location
195000,3,113,"Ben arous, El Mourouj"
195000,3,115,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
195000,3,105,"Ben arous, El Mourouj"
196000,3,112,"Ben arous, El Mourouj"
200000,3,103,"Ben arous, El Mourouj"
200000,3,103,"Ben arous, El Mourouj"
200000,3,115,"Ben arous, El Mourouj"
200000,3,115,"Ben arous, El Mourouj"
200000,3,103,"Ben arous, El Mourouj"
200000,3,103,"Ben arous, El Mourouj"
210000,3,113,"Ben arous, El Mourouj"
210000,3,113,"Ben arous, El Mourouj"
210000,3,118,"Ben arous, El Mourouj"
210000,3,113,"Ben arous, El Mourouj"
212000,3,125,"Ben arous, El Mourouj"
213000,3,110,"Ben arous, El Mourouj"
217000,3,124,"Ben arous, El Mourouj"
225000,3,124,"Ben arous, El Mourouj"
225000,3,124,"Ben arous, El Mourouj"
235000,3,125,"Ben arous, El Mourouj"
235000,3,125,"Ben arous, El Mourouj"
235000,3,125,"Ben arous, El Mourouj"
245000,3,164,"Ben arous, El Mourouj"
310000,3,152,"Ben arous, El Mourouj"
60000,4,50,"Ben arous, El Mourouj"
75000,4,60,"Ben arous, El Mourouj"
75000,4,60,"Ben arous, El Mourouj"
80000,4,77,"Ben arous, El Mourouj"
82000,4,85,"Ben arous, El Mourouj"
85000,4,60,"Ben arous, El Mourouj"
85000,4,75,"Ben arous, El Mourouj"
85000,4,80,"Ben arous, El Mourouj"
85000,4,64,"Ben arous, El Mourouj"
85000,4,64,"Ben arous, El Mourouj"
85000,4,98,"Ben arous, El Mourouj"
85000,4,100,"Ben arous, El Mourouj"
86000,4,60,"Ben arous, El Mourouj"
88000,4,66,"Ben arous, El Mourouj"
90000,4,70,"Ben arous, El Mourouj"
90000,4,75,"Ben arous, El Mourouj"
90000,4,75,"Ben arous, El Mourouj"
92000,4,75,"Ben arous, El Mourouj"
92000,4,70,"Ben arous, El Mourouj"
94000,4,89,"Ben arous, El Mourouj"
94000,4,89,"Ben arous, El Mourouj"
94000,4,89,"Ben arous, El Mourouj"
94000,4,89,"Ben arous, El Mourouj"
94000,4,80,"Ben arous, El Mourouj"
94000,4,80,"Ben arous, El Mourouj"
95000,4,90,"Ben arous, El Mourouj"
95000,4,90,"Ben arous, El Mourouj"
95000,4,87,"Ben arous, El Mourouj"
95000,4,90,"Ben arous, El Mourouj"
95000,4,81,"Ben arous, El Mourouj"
96000,4,80,"Ben arous, El Mourouj"
97000,4,92,"Ben arous, El Mourouj"
100000,4,70,"Ben arous, El Mourouj"
100000,4,90,"Ben arous, El Mourouj"
100000,4,70,"Ben arous, El Mourouj"
100000,4,89,"Ben arous, El Mourouj"
100000,4,89,"Ben arous, El Mourouj"
100000,4,89,"Ben arous, El Mourouj"
100000,4,90,"Ben arous, El Mourouj"
104000,4,75,"Ben arous, El Mourouj"
105000,4,98,"Ben arous, El Mourouj"
105000,4,87,"Ben arous, El Mourouj"
105000,4,90,"Ben arous, El Mourouj"
105000,4,81,"Ben arous, El Mourouj"
105000,4,110,"Ben arous, El Mourouj"
105000,4,75,"Ben arous, El Mourouj"
105000,4,75,"Ben arous, El Mourouj"
107000,4,83,"Ben arous, El Mourouj"
108000,4,75,"Ben arous, El Mourouj"
108000,4,80,"Ben arous, El Mourouj"
109000,4,80,"Ben arous, El Mourouj"
110000,4,78,"Ben arous, El Mourouj"
110000,4,85,"Ben arous, El Mourouj"
110000,4,64,"Ben arous, El Mourouj"
110000,4,96,"Ben arous, El Mourouj"
110000,4,85,"Ben arous, El Mourouj"
110000,4,85,"Ben arous, El Mourouj"
110000,4,75,"Ben arous, El Mourouj"
110000,4,85,"Ben arous, El Mourouj"
110000,4,100,"Ben arous, El Mourouj"
110000,4,92,"Ben arous, El Mourouj"
110000,4,81,"Ben arous, El Mourouj"
110000,4,90,"Ben arous, El Mourouj"
110000,4,90,"Ben arous, El Mourouj"
110000,4,100,"Ben arous, El Mourouj"
110000,4,90,"Ben arous, El Mourouj"
110000,4,100,"Ben arous, El Mourouj"
110000,4,85,"Ben arous, El Mourouj"
110000,4,80,"Ben arous, El Mourouj"
110000,4,72,"Ben arous, El Mourouj"
